City,State,Name,Address,Zip,Phone,Email
Midland City,Alabama,Mary Berry Brown Memorial Library,1318 Hinton Waters Ave,36350,(334) 983-9999,
Millbrook,Alabama,Millbrook Public Library,3650 Grandview Road,36054,(334) 285-6688,
Millport,Alabama,Millport Public Library,920 Black Street,35576,(205) 662-4286,
Mobile,Alabama,Dauphin Island Parkway Branch,1924j Dauphin Island Parkway,36605,(251) 470-7766,
Mobile,Alabama,Mobile Public Library,701 Government Street,36602,(251) 208-7073,
Mobile,Alabama,Monte L. Moorer-Springhill Branch,4 Mcgregor Avenue S,36608,(251) 470-7770,
Mobile,Alabama,Tillmans Corner Branch,"5451 Halls Mill Road, Suite 10",36619,(251) 661-4578,
Mobile,Alabama,Toulminville Branch,2318 St. Stephens Road,36617,(251) 438-7075,
Mobile,Alabama,West Regional Library,5555 Grelot Road,36609,(251) 640-8550,
Monroeville,Alabama,Monroe County Public Library,121 Pineville Road,36460,(251) 743-3818,
Montevallo,Alabama,Montevallo - Parnell Memorial Library,277 Park Drive,35115,(205) 665-9207,
Montevallo,Alabama,Parnell Memorial Library,845 Valley Street,35115,(205) 665-9207,
Montgomery,Alabama,Coliseum Boulevard Branch Library,840 Coliseum Boulevard,36109,(334) 271-7005,
Montgomery,Alabama,El Lowder Regional Library,3950 Bell Road,36116,(334) 244-5717,
Montgomery,Alabama,Governors Square Branch Library,2885-B East South Blvd.,36116,(334) 284-7929,
Montgomery,Alabama,Hampstead Branch Library,5251 Hampstead High Street Suite 107,36116,(334) 244-5770,
Montgomery,Alabama,Juliette Hampton Morgan Memorial Library,245 High Street,36104,(334) 240-4300,
Montgomery,Alabama,Pintlala Branch Library,255 Federal Road,36043,(334) 281-8069,
Montgomery,Alabama,Rosa L. Parks Avenue Branch Library,1276 Rosa Parks Avenue,36108,(334) 540-4979,
Montgomery,Alabama,Rufus A. Lewis Regional Library,3095 Mobile Highway,36108,(334) 240-4848,
Moody,Alabama,Doris Stanley Memorial Library,2900 Daniel Drive,35004,(205) 640-2517,
Moody,Alabama,Moody - Doris Stanley Memorial Library,1515 Bookmark Lane,35004,(205) 640-2517,
Moulton,Alabama,Lawrence County Public Library,401 College Street,35650,(256) 974-0883,
Moundville,Alabama,Moundville Public Library,410 Market Street,35474,(205) 371-2283,
Mountain Brook,Alabama,Emmet Oneal Library,50 Oak Street,35213,(205) 879-0459,Email
Mt. Vernon,Alabama,Mt. Vernon Public Library,1220 Military Road,36560,(251) 829-9497,
Muscle Shoals,Alabama,Muscle Shoals Public Library,1918 East Avalon Avenue,35661,(256) 386-9212,
New Hope,Alabama,Elizabeth Carpenter Public Library,5496 Main Street,,(256) 723-2995,
Newton,Alabama,Newton Public Library,209 Oates Drive,36352,(334) 299-3316,
Odenville,Alabama,Odenville Public Library,200 Alabama Street,35120,(205) 629-5901,
Ohatchee,Alabama,Ohatchee Public Library,7803 Al Highway 77,36271,(256) 892-4203,
Oneonta,Alabama,Oneonta Public Library,221 Second Street South,35121,(205) 274-7641,
Opelika,Alabama,Lewis Cooper Jr. Memorial Library,200 South 6th Street,,(334) 705-5380,
Opelika,Alabama,Opelika - Lewis Cooper Jr. Memorial Library,200 South 6th Street,36801,(334) 705-5380,
Opp,Alabama,Opp Public Library,1604 North Main Street,36467,(334) 493-6423,Email
Orange Beach,Alabama,Orange Beach Public Library,26267 Canal Road,36561,(251) 981-2923,
Oxford,Alabama,Oxford Public Library,110 East 6th Street,36203,(256) 831-1750,
Ozark,Alabama,Ozark - Dale County Public Library,416 James Street,36360,(334) 774-5480,
Pelham,Alabama,Pelham Public Library,3160 Pelham Parkway,35124,(205) 620-6418,
Pell City,Alabama,Pell City Public Library,1923 1st Avenue North,35125,(205) 884-1015,
Phenix City,Alabama,Phenix City-Russell County Library,1501 17th Avenue,36867,(334) 297-1139,Email
Piedmont,Alabama,Piedmont Public Library,106 N Main Street,36272,(256) 447-3369,
Pike Road,Alabama,Pike Road Branch Library,9585 Vaughn Road,36064,(334) 244-8679,
Pine Hill,Alabama,Pine Hill Branch Public Library,530 Oak Grove Street,36769,(334) 963-4351,
Pine Level,Alabama,Pine Level Branch Library,20 Kohn Drive,36065,(334) 584-7144,
Pinson,Alabama,Clay Public Library,7257 Old Springville Road,35126,(205) 680-3812,Email
Pinson,Alabama,Pinson Public Library,4410 Main Street,35126,(205) 680-9298,
Pleasant Grove,Alabama,Pleasant Grove Public Library,501 Park Road,35127,(205) 744-1742,
Prattville,Alabama,Autauga - Prattville Public Library,254 Doster Street,36067,(334) 365-3396,
Priceville,Alabama,Priceville Public Library,103 Faye Drive,35603,(256) 584-0230,
Prichard,Alabama,Prichard Public Library,300 West Lovejoy Loop,36610,(251) 452-7847,
Ragland,Alabama,Ragland Public Library,738 Main Street,35131,(205) 472-2007,
Rainbow City,Alabama,Rainbow City Public Library,3702 Rainbow Drive,35906,(256) 442-8477,
Rainsville,Alabama,Rainsville Public Library,941 East Main Street,35986,(256) 638-3311,
Ramer,Alabama,Ramer Branch Library,5444 Sr-94,36069,(334) 562-3364,
Red Bay,Alabama,Red Bay - Weatherford Public Library,307 4th Avenue South,35582,(256) 356-9255,
Reform,Alabama,Reform Public Library,302 First Street South,35481,(205) 375-6240,Email
Roanoke,Alabama,Roanoke - Annie L. Awbrey Public Library,736 College Street,36274,(334) 863-2632,
Robertsdale,Alabama,Baldwin County Library Cooperative,22251 Palmer Street,36567,(251) 970-4010,
Robertsdale,Alabama,Robertsdale Public Library,18301 Pennsylvania Street,36567,(251) 947-8960,
Rockford,Alabama,Rockford Public Library,110 Main Street,35136,(256) 377-4911,
Rogersville,Alabama,Rogersville Public Library,74 Bank Street,35652,(256) 247-0151,
Russellville,Alabama,Russellville Public Library,110 East Lawrence Street,35653,(256) 332-1535,
Samson,Alabama,Samson Public Library,200 North Johnson Street,36477,(334) 898-7806,
Saraland,Alabama,Saraland Public Library,111 Saraland Loop,36571,(251) 675-2879,
Sardis City,Alabama,Sardis City Public Library,1310 Church Street,35956,(256) 593-5634,
Satsuma,Alabama,Satsuma Public Library,5466 Old Highway 43,36572,(251) 679-0700,
Scottsboro,Alabama,Scottsboro Public Library,1002 South Broad Street,35768,(256) 574-4335,
Selma,Alabama,Selma-Dallas County Public Library,1103 Selma Avenue,36703,(334) 874-1725,
Sheffield,Alabama,Sheffield Public Library,316 North Montgomery Avenue,35660,(256) 386-5633,
Silverhill,Alabama,Oscar Johnson Memorial Library,15965 Silverhill Ave.,36576,(251) 945-5201,
Slocomb,Alabama,Slocomb Public Library,134 South Dalton Avenue,36375,(334) 886-9009,
Somerville,Alabama,Somerville Public Library,192 Broad St,35670,(256) 778-9779,
Springville,Alabama,Springville Public Library,6496 U.S. Highway 11,35146,(205) 467-2339,
Steele,Alabama,Steele Public Library,78 Hillview Street,35987,(205) 538-0811,
Stevenson,Alabama,Stevenson Public Library,102 West Main Street,35772,(256) 437-3008,
Sulligent,Alabama,Sulligent Public Library,514 Elm Street,35586,(205) 698-8631,
Sumiton,Alabama,Sumiton Public Library,416 State Street,35148,(205) 648-7451,
Summerdale,Alabama,Summerdale - Marjorie Younce Snook Public Library,202 West Broadway Street,36580,(251) 989-2011,
Sylacauga,Alabama,B .B. Comer Memorial Library,314 North Broadway Avenue,35150,(256) 249-0961,
Talladega,Alabama,Talladega Public Library,202 South Street East,35160,(256) 362-4211,
Tallassee,Alabama,Tallassee Community Library,99 Freeman Avenue,36078,(334) 283-2732,
Tarrant,Alabama,Tarrant Public Library,1143 Ford Avenue,35217,(205) 841-0575,
Thomasville,Alabama,Thomasville Public Library,1401 Mosley Drive,36784,(334) 636-5343,
Thorsby,Alabama,Thorsby Public Library,,,(334) 644-3375,
Troy,Alabama,Troy Public Library,300 North Three Notch Street,36081,(334) 566-1314,
Trussville,Alabama,Trussville Public Library,201 Parkway Drive,35173,(205) 655-2022,
Tuscaloosa,Alabama,Tuscaloosa Public Library,1801 Jack Warner Parkway,35401,(205) 345-5820,
Tuscaloosa,Alabama,Weaver-Bolden Branch Library,2937 18th Street,35401,(205) 758-8291,
Tuscumbia,Alabama,Tuscumbia - Helen Keller Public Library,511 North Main Street,35674,(256) 383-7065,
Tuskegee,Alabama,Macon County - Tuskegee Public Library,302 South Main Street,36083,(334) 727-5192,
Union Springs,Alabama,Union Springs Public Library,103 North Prairie Street,36089,(334) 738-2760,
Uniontown,Alabama,Uniontown Public Library,108 Water Street,36786,(334) 628-6681,
Valley,Alabama,H. Grady Bradshaw - Chambers County Library,3419 20th Avenue,36854,(334) 768-2161,
Vernon,Alabama,Vernon - Mary Wallace Cobb Memorial Library,110 First Avenue West,35592,(205) 695-6123,
Vestavia Hills,Alabama,Vestavia Hills Public Library,1112 Montgomery Highway,35216,(205) 978-0155,
Vincent,Alabama,Vincent - Lallouise F. Mcgraw Library,42860 Highway 25,35178,(205) 672-2749,
Walnut Grove,Alabama,Westside Public Library,5151 Walnut Grove Road,35990,(205) 589-6699,
Warrior,Alabama,Warrior Public Library,101 First Street,35180,(205) 647-3006,
West Blocton,Alabama,West Blocton Public Library,62 Walter Owens Drive,35184,(205) 938-3570,
Westover,Alabama,Westover Public Library,,,(205) 678-7335,
Wetumpka,Alabama,Wetumpka Public Library,212 South Main Street,36092,(334) 567-1308,
White Hall,Alabama,White Hall Public Library,640 Freedom Road,36040,(334) 874-7323,
Wilsonville,Alabama,Wilsonville - Vernice Stoudenmire Library,p.o. box 24,35186,(205) 669-6180,
Winfield,Alabama,Northwest Regional Library,185 Ashwood Drive,35594,(205) 487-2330,
Winfield,Alabama,Winfield Public Library,185 Ashwood Drive,35594,(205) 487-2484,
Woodville,Alabama,Woodville Public Library,26 Venson Street,35776,(256) 776-2796,
York,Alabama,Hightower Memorial Library,630 Avenue A,36925,(205) 392-2004,
City,,Library,Address,Zip,Phone,Email
Aguila,Arizona,Maricopa County Library - Aguila,51300 West U.S. 60,85320,(928) 685-2214,
Ajo,Arizona,Salazar-Ajo Branch Library,33 Plaza Street,85321,(520) 387-6075,
Alpine,Arizona,Alpine Public Library,17 County Road 2061,85920,(928) 339-4925,
Anthem,Arizona,Maricopa County Library - North Valley Regional,40410 North Gavilan Peak Parkway,85086,(602) 652-3000,
Apache Junction,Arizona,Apache Junction Public Library,1177 N. Idaho Rd.,85219,(480) 474-8557,
Arivaca,Arizona,Caviglia-Arivaca Branch Library,17050 W Arivaca Road,85601,(520) 594-5235,
Arizona City,Arizona,Arizona City Community Library,13254 S. Sunland Gin Rd.,85193,(520) 466-5565,
Ash Fork,Arizona,Ash Fork Public Library,518 Lewis Ave,86320,(928) 637-2442,
Avondale,Arizona,Avondale Civic Center Library,11350 Civic Center Drive,85323,(602) 652-3000,
Avondale,Arizona,Avondale Old Town Library,328 West Western Avenue,85323,(623) 932-9415,
Avondale,Arizona,Sam Garcia Western Avenue Library,495 E. Western Ave,85323,(623) 333-2611,
City,Arizona,Library,Address,Zip,Phone,Email
Bagdad,Arizona,Bagdad Public Library,100 Main Street,14070,(928) 633-2325,
Beaver Dam,Arizona,Beaver Dam-Littlefield Library,3436 E Rio Virgin Rd,86432,(928) 347-5796,
Benson,Arizona,Benson Public Library,300 S. Huachuca,85602,(520) 586-9535,
Bisbee,Arizona,Cochise County Library District,100 Clawson Street,85603,(520) 432-8930,
Bisbee,Arizona,Copper Queen Library,6 Main Street,85603,(520) 432-4232,
Black Canyon City,Arizona,Black Canyon City Community Library,34701 S Old Black Canyon Hwy,85324,(623) 374-5866,
Bowie,Arizona,Jimmie Libhart Library,201 North Central,85605,(520) 847-2545,
Buckeye,Arizona,Buckeye Public Library,310 North 6th Street,85326,(623) 349-6312,
Bullhead City,Arizona,Mohave County Library At Bullhead City Library,1170 East Hancock Road,86442,(928) 758-0714,
City,Arizona,Library,Address,Zip,Phone,Email
Camp Verde,Arizona,Camp Verde Community Library,130 Black Bridge Loop Rd.,86322,(928) 567-3414,Email
Casa Grande,Arizona,Casa Grande Public Library,449 N. Dry Lake,85222,(520) 421-8710,
Catalina,Arizona,Dewhirst-Catalina Branch Library,15631 N. Oracle Rd.,85739,(520) 594-5240,
Cave Creek,Arizona,Desert Foothills Library,38443 N. Schoolhouse Road,85331,(480) 488-2286,
Chandler,Arizona,Chandler Public Library,22 South Delaware,85225,(480) 782-2817,
Chandler,Arizona,Hamilton Branch Library,3700 South Arizona Avenue,85248,(480) 782-2828,
Chandler,Arizona,Sunset Branch Library,4930 West Ray Road,85226,(480) 782-2840,
Chino Valley,Arizona,Chino Valley Public Library,1020 W. Palomino Road,86323,(928) 636-2687,
Chloride,Arizona,Craig Community Library,4901 Pay Roll Avenue,86431,(928) 565-2200,
Cibecue,Arizona,Cibecue Community Library,6 West 3rd St.,85911,(928) 332-2621,
Clarkdale,Arizona,Clark Memorial,39 North Ninth Street,86324,(928) 634-9760,
Clay Springs,Arizona,Clay Springs Public Library,2106 Granite Rd.,85923,(928) 739-4848,
Clifton,Arizona,Clifton Public Library,505 School Street,85533,(928) 865-2461,
Concho,Arizona,Concho Public Library,18 County Road 5051,85924,(928) 337-2167,
Congress,Arizona,Congress Public Library,26750 S Sante Fe Rd,85332,(928) 427-3945,
Coolidge,Arizona,Coolidge Public Library,160 W. Central Avenue,85228,(520) 723-6030,
Cottonwood,Arizona,Cottonwood Public Library,100 S. 6th St.,86326,(928) 634-7559,
Crown King,Arizona,Crown King Public Library,23550 South Towers Mountain Road,86343,(928) 632-5986,
City,Arizona,Library,Address,Zip,Phone,Email
Dateland,Arizona,Dateland Branch Library,,85333,(928) 454-2242,
Douglas,Arizona,Douglas Public Library,560 10th Street,85607,(520) 364-3851,
Duncan,Arizona,Duncan Public Library,122 N. Hwy. 75,85534,(928) 359-2094,
City,Arizona,Library,Address,Zip,Phone,Email
Eagar,Arizona,Round Valley Public Library,179 South Main Street,85925,(928) 333-4694,
El Mirage,Arizona,Maricopa County Library - El Mirage,14011 N. 1st Avenue,85335,(602) 652-3000,
Eloy,Arizona,Eloy Public Library,100 East 7th Street,85231,(520) 466-3814,
City,Arizona,Library,Address,Zip,Phone,Email
Flagstaff,Arizona,East Flagstaff Community Library,3000 N Fourth St,86004,(928) 774-8434,
Flagstaff,Arizona,Flagstaff City-Coconino County Public Library,300 West Aspen,86001,(928) 779-7673,
Florence,Arizona,Florence Community Library,1000 S. Willow Street,85232,(520) 868-9471,
Florence,Arizona,Pinal County Library District,92 W. Butte Ave.,85232,(520) 866-6457,
Forest Lakes,Arizona,Forest Lakes Community Library,417 Old Rim Rd,85931,(928) 535-9125,
Fountain Hills,Arizona,Maricopa County Library - Fountain Hills,12901 N La Montana Dr,85268,(480) 837-9793,
Fredonia,Arizona,Fredonia Public Library,118 North Main Street,86022,(928) 643-7137,
Fredonia,Arizona,Kaibab Paiute Tribal Library,1 North Pipe Springs Road,86022,(928) 643-6004,
Ft. Mcdowell,Arizona,Ft. Mcdowell Yavapai Nation Tribal Library,16708 N. Ft Mcdowell Road,85264,(480) 789-7850,
City,Arizona,Library,Address,Zip,Phone,Email
Gila Bend,Arizona,Maricopa County Library - Gila Bend,202 N Euclid,85337,(928) 683-2061,
Gila Bend,Arizona,San Lucy District Library,1125 C Street,85337,(928) 683-2012,
Gilbert,Arizona,Maricopa County Library - Perry,1965 E. Queen Creek Rd.,85298,(602) 652-3000,
Gilbert,Arizona,Maricopa County Library - Southeast Regional,775 North Greenfield Road,85234,(480) 539-5100,
Glendale,Arizona,Foothills Branch Library,19055 North 57th Avenue,85308,(623) 930-3830,
Glendale,Arizona,Glendale Public Library,5959 W Brown St,85302,(623) 930-3562,
Glendale,Arizona,Velma Teague Branch Library,7010 North 58th Avenue,85301,(623) 930-3431,
Globe,Arizona,Gila County Library District,1400 East Ash,85501,(928) 402-8770,
Globe,Arizona,Globe Public Library,339 S. Broad St.,85501,(928) 425-6111,
Golden Valley,Arizona,Golden Valley Community Library,3417 N. Verde Road,86413,(928) 565-2989,
Goodyear,Arizona,Maricopa County Library - Goodyear,250 N. Litchfield Road Ste 185,85338,(602) 652-3000,
Grand Canyon National Park,Arizona,Grand Canyon Community Library,208 Navajo Street,86023,(928) 638-2718,
Green Valley,Arizona,Joyner-Green Valley Branch Library,601 North La Canada Drive,85614,(520) 594-5295,
Greer,Arizona,Greer Memorial Library,109 County Road 1120 - Main Street,85927,(928) 735-7710,
Guadalupe,Arizona,Maricopa County Library - Guadalupe,9241 South Avenida Del Yaqui,85283,(480) 831-5967,
City,Arizona,Library,Address,Zip,Phone,Email
Hayden,Arizona,Hayden Public Library,219 E. 5th St.,85235,(520) 356-7031,
Hayden,Arizona,Hayden Public Library,520 Velasco Avenue,85135,(520) 356-7031,
Heber,Arizona,Rim Community Library,3404 Mustang Ave.,85928,(928) 535-5749,
Holbrook,Arizona,Holbrook Public Library,403 Park St,86025,(928) 524-3732,
Holbrook,Arizona,Navajo County Library District,121 W. Buffalo,86025,(928) 524-4745,Email
Huachuca City,Arizona,Huachuca City Public Library,506 N Gonzales Blvd,85616,(520) 456-1063,
City,Arizona,Library,Address,Zip,Phone,Email
Jerome,Arizona,Jerome Public,600 Clark St.,86331,(928) 639-0574,
City,Arizona,Library,Address,Zip,Phone,Email
Kayenta,Arizona,Kayenta Community Library,1 Mile N. U.S. Highway 163,86033,(928) 697-5563,
Kearny,Arizona,Kearny Public Library,912-A Tilbury Rd.,85237,(520) 363-5861,
Kingman,Arizona,Mohave County Library District,3269 N. Burbank Street,86401,(928) 692-5717,
Kingman,Arizona,Valle Vista Community Library,"7193 Concho Drive, Suite B",86401,(928) 692-7662,
Kykotsmovi,Arizona,Hopi Public Library,100 Main Street,86034,(928) 734-4500,Email
City,Arizona,Library,Address,Zip,Phone,Email
Lake Havasu City,Arizona,Mohave County Library At Lake Havasu City,1770 N Mcculloch Blvd,86403,(928) 453-0718,
Lakeside,Arizona,Larson Memorial Public Library,1595 Johnson Dr.,85929,(928) 368-0624,
Laveen,Arizona,Laveen Branch Library,9401 S. 51st Ave,85339,(602) 237-2904,
Litchfield Park,Arizona,Maricopa County Library - Litchfield Park,101 West Indian School Road,85340,(623) 935-4118,
City,Arizona,Library,Address,Zip,Phone,Email
Mammoth,Arizona,Mammoth Public Library,125 N. Clark St.,85618,(520) 487-2026,
Marana,Arizona,Geasa-Marana Branch Library,13370 Lon Adams Road,85653,(520) 594-5255,
Maricopa,Arizona,Maricopa Public Library,44240 West Maricopa-Casa Grande Hwy,85239,(520) 316-6966,
Mayer,Arizona,Cordes Lakes Public Library,20445 E Quail Run Dr,86333,(928) 632-5492,
Mayer,Arizona,Mayer Public Library,10004 Wicks Street,86333,(928) 632-7370,
Mcnary,Arizona,Mcnary Community Library,14 Cady Street,85930,(928) 334-2116,
Meadview,Arizona,Meadview Community Library,149 Meadview Blvd,86444,(928) 564-2535,
Mesa,Arizona,Dobson Ranch Branch Library,2425 South Dobson Road,85202,(480) 644-3441,
Mesa,Arizona,East Mesa Regional Library,635 North Power Road,85207,(480) 644-3184,
Mesa,Arizona,Mesa Public Library,64 E. First St.,85201,(480) 644-3100,
Miami,Arizona,Miami Memorial Public Library,1052 Adonis Ave.,85539,(928) 473-2621,
Mohave Valley,Arizona,South Mohave Valley Community Library,"8045 Highway 95, Suite D",86440,(928) 768-1151,
Morenci,Arizona,Morenci Community Library,346 Plaza Morenci,85540,(928) 865-2775,
City,Arizona,Library,Address,Zip,Phone,Email
Nogales,Arizona,Nogales-Santa Cruz County Public Library,518 N. Grand Ave.,85621,(520) 285-5710,
City,Arizona,Library,Address,Zip,Phone,Email
Oatman,Arizona,Oatman Community Library,140 Main Street,86413,(928) 768-2323,
Oracle,Arizona,Oracle Public Library,565 American Ave,85623,(520) 896-2121,
Oro Valley,Arizona,Oro Valley Public Library,1305 W Naranja Drive,85737,(520) 229-5302,
City,Arizona,Library,Address,Zip,Phone,Email
Page,Arizona,Page Public Library,479 South Lake Powell Blvd.,86040,(928) 645-4270,
Parker,Arizona,Colorado River Indian Tribes Library-Archives,26600 Mohave Road,85344,(928) 669-9211,
Parker,Arizona,La Paz County Services,1001 S. Navajo Ave,85344,(928) 669-2622,
Parker,Arizona,Parker Public Library,1001 S. Navajo Ave,85344,(928) 669-2622,
Patagonia,Arizona,Patagonia Public Library,346 Duquesne Ave,85624,(520) 394-2010,
Payson,Arizona,Payson Public Library,328 N. Mclane Rd.,85541,(928) 474-9260,
Peach Springs,Arizona,The Edward Mcelwain Memorial Library,460 Hualapai Way,86434,(928) 769-2200,
Pearce,Arizona,Alice Woods Sunizona Library,6460 East Highway 181,85625,(520) 824-3340,
Pearce,Arizona,Sunsites Community Library,210 Ford Road,85625,(520) 826-3866,
Peoria,Arizona,Peoria Public Library System,8463 W. Monroe St.,85345,(623) 773-7557,
Peoria,Arizona,Sunrise Mountain Branch Library,"21200 North 83rd Ave, Ste 101",85382,(623) 487-5150,
Phoenix,Arizona,Acacia Branch Library,750 East Townley Avenue,85020,(602) 262-6223,
Phoenix,Arizona,Burton Barr Central Library,1221 North Central Avenue,85004,(602) 262-4636,
Phoenix,Arizona,Century Branch,1750 East Highland,85016,(602) 262-7412,
Phoenix,Arizona,Cholla Branch Library,10050 Metro Parkway East,85051,(602) 534-3770,
Phoenix,Arizona,Desert Sage Branch Library,7602 West Encanto Blvd,85035,(602) 534-5276,
Phoenix,Arizona,George L. Campbell Branch Library,17811 N 32nd St,85032,(602) 652-3000,
Phoenix,Arizona,Harmon Branch Library,411 West Yavapai Street,85007,(602) 262-6362,
Phoenix,Arizona,Ironwood Branch Library,4333 East Chandler Blvd,85048,(602) 534-1900,
Phoenix,Arizona,Juniper Branch Library,1825 W Union Hills Dr,85027,(602) 534-3900,
Phoenix,Arizona,Maricopa County Library District Office,2700 N Central Ave Ste 700,85004,(602) 652-3000,
Phoenix,Arizona,Mesquite Branch Librry,4525 Paradise Village Parkway North,85032,(602) 262-7299,
Phoenix,Arizona,Ocotillo Branch Library,102 West Southern Avenue,85041,(602) 262-6694,
Phoenix,Arizona,Palo Verde Branch Library,4402 North 51st Avenue,85031,(602) 262-6805,
Phoenix,Arizona,Phoenix Public Library,1221 N. Central Avenue,85004,(602) 262-6157,
Phoenix,Arizona,Saguaro Branch Library,2808 North 46th Street,85008,(602) 262-6801,
Phoenix,Arizona,Yucca Branch Library,5648 North 15th Avenue,85015,(602) 262-6788,
Pima,Arizona,Pima Public Library,50 South 200 West,85543,(928) 485-2822,
Pine,Arizona,Isabelle Hunt Memorial Public Library,6124 W. Randall Place,85544,(928) 476-3678,
Pinetop-Lakeside,Arizona,Larson Memorial Public Library,1595 Johnson Dr.,85929,(928) 368-6688,
Portal,Arizona,Myrtle Kraft Library,2393 South Rock House Road,85632,(520) 558-2468,Email
Prescott,Arizona,Prescott Gateway Branch,3250 Gateway Blvd,86303,(928) 445-3799,
Prescott,Arizona,Prescott Public Library,215 E Goodwin St,86303,(928) 777-1519,
Prescott,Arizona,Yavapai County Library District,172 East Merritt Street Suite E,86301,(928) 771-3191,
Prescott Valley,Arizona,Prescott Valley Public Library,7501 Civic Circle,86314,(928) 759-3041,
City,Arizona,Library,Address,Zip,Phone,Email
Quartzsite,Arizona,Quartzsite Public Library,465 North Plymouth Ave,85346,(928) 927-6593,
Queen Creek,Arizona,Maricopa County Library - Queen Creek,22407 South Ellsworth Road,85142,(480) 987-3600,
City,Arizona,Library,Address,Zip,Phone,Email
Rio Rico,Arizona,Rio Rico Library,1060 Yavapai Drive,85648,(520) 281-8067,
Roll,Arizona,Roll Branch Library,5151 S Avenue 39e,85347,(928) 785-3701,
City,Arizona,Library,Address,Zip,Phone,Email
Sacaton,Arizona,Ira Hayes Memorial Library,94 North Church Street,85247,(520) 562-3225,
Safford,Arizona,Safford City - Graham County Library,808 S. 7th Avenue,85546,(928) 348-3202,
Sahuarita,Arizona,Sahuarita Branch Library,725 W. Via Rancho Sahuarita,85629,(520) 594-5490,
Salome,Arizona,Indian Hills Branch Library,66907 Indian Hills Way,85344,(928) 859-4271,
San Carlos,Arizona,San Carlos Public Library,89 San Carlos Ave.,85550,(928) 475-2611,
San Luis,Arizona,San Luis Branch Library,1075 N. 6th Ave,85349,(928) 627-8344,
San Manuel,Arizona,San Manuel Public Library,108 W Fifth Avenue,85631,(520) 385-4470,
Sanders,Arizona,Sanders Public Library,,86512,(928) 688-2677,
Scottsdale,Arizona,Arabian Library,10215 E. Mcdowell Mt. Ranch Rd.,85255,(480) 312-7323,
Scottsdale,Arizona,Civic Center Library,3839 North Drinkwater Blvd,85251,(480) 312-7323,
Scottsdale,Arizona,Mustang Library,10101 North 90th Street,85258,(480) 312-7323,
Scottsdale,Arizona,Palomino Library,"12575 East Via Linda, 102",85259,(480) 312-7323,
Scottsdale,Arizona,Salt River Tribal Library,1880 N. Longmore,85256,(480) 850-8339,
Scottsdale,Arizona,Scottsdale Public Library,3839 N. Drinkwater Blvd.,85251,(480) 312-7039,
Sedona,Arizona,Sedona Public Library,3250 White Bear Road,86336,(928) 282-7714,
Seligman,Arizona,Seligman Public Library,54170 N Floyd St,86337,(928) 771-3191,
Sells,Arizona,Pisinemo Media Center Library,,,(520) 362-2806,
Sells,Arizona,Venito Garcia Library,po box 837,85634,(520) 383-5756,
Show Low,Arizona,Show Low Public Library,181 N. 9th St.,85901,(928) 532-4070,
Sierra Vista,Arizona,Sierra Vista Public Library,2600 East Tacoma Street,85635,(520) 458-4225,
Snowflake,Arizona,Snowflake-Taylor Public Library,418 South 4th West,85937,(928) 536-7103,
Somerton,Arizona,Cocopah Tribal Library,14250 S. Avenue I,85350,(928) 627-8026,
Somerton,Arizona,Somerton Branch Library,240 Canal Street,85350,(928) 627-2149,
Sonoita,Arizona,Sonoita Community Library,3147 Arizona 83,85637,(520) 455-5517,
St. Johns,Arizona,Apache County Library District Office,245 West 1st South,85936,(928) 337-3067,
St. Johns,Arizona,St. Johns Public Library,35 South 3rd West,85936,(928) 337-4405,
Sun City,Arizona,Maricopa County Library - Fairway,"10600 W. Peoria Avenue, Room 144",85351,(602) 652-3000,
Sun City,Arizona,Maricopa County Library - Sun City,16828 N. 99th Avenue,85351,(602) 652-3000,
Sun Lakes,Arizona,Maricopa County Library - Robson,9330 E Riggs Rd,85248,(602) 652-3000,
Supai,Arizona,Havasupai Village Library,p o box 40,86435,(928) 448-2901,
Superior,Arizona,Superior Public Library,99 Kellner Ave.,85273,(520) 689-2327,
Surprise,Arizona,Maricopa County Library - Hollyhock,15844 N. Hollyhock St,85378,(623) 583-0626,
Surprise,Arizona,The Northwest Regional Library,16089 N. Bullard Avenue,85374,(602) 652-3000,
City,Arizona,Library,Address,Zip,Phone,Email
Tempe,Arizona,Tempe Public Library,3500 South Rural Road,85282,(480) 350-5551,
Tolleson,Arizona,Tolleson Public Library,9555 W. Van Buren,85353,(623) 936-7111,
Tombstone,Arizona,Tombstone Public Library,p.o. box 218,85638,(520) 457-3612,
Tonto Basin,Arizona,Tonto Basin Public Library,415 Old Hwy 188,85553,(928) 479-2355,
Topock,Arizona,Golden Shores Station Library,13136 Golden Shores Parkway,86436,(928) 768-2235,
Tuba City,Arizona,Tuba City Public Library,78 Main Street,86045,(928) 283-5856,
Tubac,Arizona,Tubac Community Library,50 Bridge Road,85646,(520) 398-9814,
Tucson,Arizona,Dusenberry-River Branch Library,5605 East River Road,85750,(520) 594-5345,
Tucson,Arizona,Eckstrom-Columbus Branch Library,4350 E. 22nd St.,85711,(520) 594-5285,
Tucson,Arizona,El Pueblo Branch Library,101 W. Irvington Rd.,85706,(520) 594-5250,
Tucson,Arizona,El Rio Branch Library,1390 West Speedway,85745,(520) 594-5245,
Tucson,Arizona,Flowing Wells Branch Library,1730 W. Wetmore Road,85705,(520) 594-5225,
Tucson,Arizona,Himmel Park Branch Library,1035 North Treat Avenue,85716,(520) 594-5305,
